time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-29T21:45:14.940Z,33.4826667,-116.429,9.68,2.55,ml,91,26,0.04072,0.18,ci,ci40334032,2022-08-30T04:38:11.496Z,"23km SSW of La Quinta, CA",earthquake,0.12,0.29,0.232,26,reviewed,ci,ci
2022-08-29T21:43:46.400Z,43.9165,-123.74716666666667,-0.38,1.73,ml,11,107,0.007426,0.33,uw,uw61876171,2022-08-29T23:08:54.240Z,"29 km ESE of Florence, Oregon",explosion,0.9,31.61,0.18711727419313617,6,reviewed,uw,uw
2022-08-29T21:42:57.390Z,38.8064995,-122.7363358,2.47,1.03,md,11,119,0.01918,0.03,nc,nc73773250,2022-08-29T21:51:10.896Z,"2km SSW of Cobb, CA",earthquake,0.4,0.85,0.17,2,automatic,nc,nc
2022-08-29T21:34:06.631Z,-14.7877,-71.8853,143.526,4.4,mb,14,121,3.62,0.88,us,us7000i3j9,2022-08-29T22:06:14.040Z,"19 km SE of Cayarani, Peru",earthquake,7.45,12.714,0.169,10,reviewed,us,us
2022-08-29T21:32:34.105Z,55.3776,-159.4004,4.7,4.1,ml,,,,0.76,ak,ak022b2x7oak,2022-08-29T23:30:36.832Z,"58 km S of Ivanof Bay, Alaska",earthquake,,1,,,reviewed,ak,ak
2022-08-29T21:32:03.990Z,35.32066667,-97.89116667,6.28,1.83,ml,63,60,0.07198587392,0.25,ok,ok2022qydj,2022-08-29T21:47:35.458Z,"4 km E of Minco, Oklahoma",earthquake,,0.4,0.17,10,reviewed,ok,ok
2022-08-29T21:29:06.350Z,38.7830009,-122.7148361,1.65,1.23,md,20,76,0.01711,0.05,nc,nc73773240,2022-08-30T01:19:11.151Z,"2km WNW of Anderson Springs, CA",earthquake,0.27,0.46,0.08,7,automatic,nc,nc
2022-08-29T21:18:27.780Z,19.3309993743896,-155.180999755859,2.98000001907349,1.72000003,md,37,161,,0.189999998,hv,hv73125397,2022-08-29T21:23:57.130Z,"13 km SSE of Volcano, Hawaii",earthquake,0.46,1.13,1.32000005,18,automatic,hv,hv
2022-08-29T21:16:10.740Z,49.3475,-120.4645,-0.51,2.16,ml,11,212,0.5495,0.63,uw,uw61876156,2022-08-29T22:13:45.620Z,"12 km SSE of Princeton, Canada",explosion,2.89,31.61,0.13633509949826883,10,reviewed,uw,uw
2022-08-29T21:06:43.030Z,35.6421667,-118.324,8.09,1.89,ml,34,36,0.0575,0.13,ci,ci40334000,2022-08-30T00:07:17.260Z,"14km ENE of Lake Isabella, CA",earthquake,0.16,0.42,0.244,24,reviewed,ci,ci
2022-08-29T20:52:25.813Z,31.5431083,-104.1426832,6.157275391,2.6,ml,19,69,0.2335318909,0.2,tx,tx2022qycb,2022-08-30T00:30:26.860Z,"41 km NW of Toyah, Texas",earthquake,1.635386244,3.216173098,0.2,19,reviewed,tx,tx
2022-08-29T20:26:09.233Z,61.4998,-146.5643,28.9,1.2,ml,,,,1,ak,ak022b2wkwfv,2022-08-29T20:28:23.593Z,"42 km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-08-29T20:21:28.800Z,37.5268333,-118.4716667,6.82,1.42,md,20,96,0.03091,0.05,nc,nc73773225,2022-08-30T09:16:13.002Z,"16km NNW of Dixon Lane-Meadow Creek, CA",earthquake,0.29,0.54,0.337,20,reviewed,nc,nc
2022-08-29T20:11:02.193Z,58.7186,-154.2002,98.9,1.3,ml,,,,0.2,ak,ak022b2who5n,2022-08-29T20:12:46.388Z,"86 km SSE of Kokhanok, Alaska",earthquake,,0.8,,,automatic,ak,ak
